"codelangue","codeappelobjet","traductiondictionnaire"
"2","337","Programme de maintenance préventive"
"2","337","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"3","337","Preventive maintenance program"
"3","337","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"4","337","Poner en marcha un programa de mantenimiento preventivo"
"4","337","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"2","338","Maintien des équipements propres"
"2","338","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"3","338","Maintenance of own equipment"
"3","338","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"4","338","Conservar los equipos limpios"
"4","338","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"2","339","Réparation des fuites dans les lignes et les vannes"
"2","339","Solution générale. Pour plus de détails voir autres recommandations du secteur.
Concerne les retours condensats dans les canalisation vapeur."
"3","339","Repairing leaks in lines and valves"
"3","339","Solution générale. Pour plus de détails voir autres recommandations du secteur.
Concerne les retours condensats dans les canalisation vapeur."
"4","339","Reparar las fugas en las líneas y las válvulas"
"4","339","Solution générale. Pour plus de détails voir autres recommandations du secteur.
Concerne les retours condensats dans les canalisation vapeur."
"2","340","Maintenance sur les machines afin d'en réduire les pertes"
"2","340","Analyser le pilotage des machines et l'optimiser"
"3","340","Maintenance on the machines to reduce losses"
"3","340","Analyser le pilotage des machines et l'optimiser"
"4","340","Vigilar las máquinas con el fin de reducir las pérdidas"
"4","340","Analyser le pilotage des machines et l'optimiser"
"2","342","Formation du personnel pour éviter les pertes de temps et de production"
"2","342","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"3","342","Staff training to avoid loss of time and production"
"3","342","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"4","342","Formar al personal para evitar pérdidas del tiempo y de producción"
"4","342","Les données proviennent des statistiques du DOE, ministère de l'énergie aux Etats-Unis."
"2","346","Minimisation du fonctionnement des moteurs au ralenti ou à faible charge"
"2","346","Identifier les moteurs qui fonctionnent loin de leur charge maximale. Vérifier le dimensionnement des moteurs."
"3","346","Minimization of engine operation at idle or low load"
"3","346","Identifier les moteurs qui fonctionnent loin de leur charge maximale. Vérifier le dimensionnement des moteurs."
"4","346","Minimizar el funcionamiento de los motores a ralentí o a débil carga "
"4","346","Identifier les moteurs qui fonctionnent loin de leur charge maximale. Vérifier le dimensionnement des moteurs."
"2","351","Préchauffage du combustible"
"2","351","Installation d'un préchauffage de combustible"
"3","351","Preheating the fuel"
"3","351","Installation d'un préchauffage de combustible"
"4","351","Instalación de una pre calefacción de combustible"
"4","351","Installation d'un préchauffage de combustible"
"2","352","Nettoyage des surfaces de transfert de chaleur"
"2","352","Nettoyage des surfaces de transfert de chaleur qui sont progressivement recouvertes de cendres ou de particules carbonées, afin de conserver une efficacité élevée pour le transfert de chaleur.<BR>Des souffleurs de suie, fonctionnant périodiquement peuvent garder les zones de convection propres."
"3","352","Cleaning of surfaces of heat transfer"
"3","352","Nettoyage des surfaces de transfert de chaleur qui sont progressivement recouvertes de cendres ou de particules carbonées, afin de conserver une efficacité élevée pour le transfert de chaleur.<BR>Des souffleurs de suie, fonctionnant périodiquement peuvent garder les zones de convection propres."
"4","352","Limpieza de las superficies de transferencia de calor"
"4","352","Nettoyage des surfaces de transfert de chaleur qui sont progressivement recouvertes de cendres ou de particules carbonées, afin de conserver une efficacité élevée pour le transfert de chaleur.<BR>Des souffleurs de suie, fonctionnant périodiquement peuvent garder les zones de convection propres."
"2","353","Vérification de la correspondance entre la sortie de la combustion et les exigences en chauffage"
"2","353","Ceci peut être contrôlé en réduisant la puissance thermique du brûleur, en réduisant le débit de combustible, par exemple en installant un injecteur moins puissant pour les combustibles liquides ou en réduisant la pression d’alimentation des combustibles gazeux."
"3","353","Verifying the correspondence between the output of the combustion and the heating requirements"
"3","353","Ceci peut être contrôlé en réduisant la puissance thermique du brûleur, en réduisant le débit de combustible, par exemple en installant un injecteur moins puissant pour les combustibles liquides ou en réduisant la pression d’alimentation des combustibles gazeux."
"4","353","Comprobación de la correspondencia entre la salida de la combustión y las exigencias en calefacción"
"4","353","Ceci peut être contrôlé en réduisant la puissance thermique du brûleur, en réduisant le débit de combustible, par exemple en installant un injecteur moins puissant pour les combustibles liquides ou en réduisant la pression d’alimentation des combustibles gazeux."
"2","354","Repositionnement de l'admission d'air du brûleur au plafond de la chaufferie"
"2","354","<P>Du fait des dégagements de chaleur et de l’effet radiateur des chaudières, la chaufferie est toujours chauffée. La masse volumique de l’air chaud étant plus faible que l’air froid, celui-ci monte et un effet de stratification existe alors dans la chaufferie. De ce fait, l’air en haut y est généralement plus chaud de 10 à 20 °C.</P>
<P>Introduire un air plus chaud dans la chaudière est source d’économies d’énergie car cette chaleur n’aura pas à être apportée par la chaudière. De plus, la température des fumées de combustion sera plus basse, limitant ainsi l’énergie résiduelle perdue dans les fumées. En pratique, chaque diminution de 20°C de la température des gaz de combustion augmentera le rendement de 1 % .</P>
<P>Le pourcentage des pertes de chaleur par les fumées de combustion est donné par la formule de Siegert : </P>
<P>WL=C (Tgas-Tair)/(%CO2 ), </P>
<P>Avec :</P>
<UL>
<LI>C&nbsp;: coefficient de Siegert qui dépend du combustible et du taux de CO2</LI>
<LI>Tgaz, température des gaz de combustion</LI>
<LI>Tair, température de l’air d’alimentation<BR></LI></UL>"
"3","354","Repositioning of the air intake of the burner to the ceiling of the boiler room"
"3","354","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Because of the heat release and the effect radiator boiler , the boiler is always heated . The density of the hot air is lower than the cold air , it rises and then layering effect exists in the boiler . Therefore, the air up there is generally warmer 10 to 20 ° C.</P>
<P>Insert warmer air in the boiler is a source of energy savings because the heat does not have to be provided by the boiler. In addition, the temperature of the flue gases will be lower , thus reducing the residual energy lost in the smoke . In practice, each decrease of 20 ° C the temperature of the combustion gases will increase the yield of 1%.</P>
<P>The percentage of heat loss from the flue gas is given by the formula Siegert :</P>
<P>WL = C ( Tgas -Tair ) / ( % CO2),</P>
<P>with :</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">C: Siegert coefficient which depends on the fuel and the CO2<BR>Tgaz, combustion gas temperature<BR>Tair, temperature of the air supply</P>"
"4","354","Nuevo posicionamiento de la admisión de aire del quemador al techo del cuarto de calderas"
"4","354","<P>Du fait des dégagements de chaleur et de l’effet radiateur des chaudières, la chaufferie est toujours chauffée. La masse volumique de l’air chaud étant plus faible que l’air froid, celui-ci monte et un effet de stratification existe alors dans la chaufferie. De ce fait, l’air en haut y est généralement plus chaud de 10 à 20 °C.</P>
<P>Introduire un air plus chaud dans la chaudière est source d’économies d’énergie car cette chaleur n’aura pas à être apportée par la chaudière. De plus, la température des fumées de combustion sera plus basse, limitant ainsi l’énergie résiduelle perdue dans les fumées. En pratique, chaque diminution de 20°C de la température des gaz de combustion augmentera le rendement de 1 % .</P>
<P>Le pourcentage des pertes de chaleur par les fumées de combustion est donné par la formule de Siegert : </P>
<P>WL=C (Tgas-Tair)/(%CO2 ), </P>
<P>Avec :</P>
<UL>
<LI>C&nbsp;: coefficient de Siegert qui dépend du combustible et du taux de CO2</LI>
<LI>Tgaz, température des gaz de combustion</LI>
<LI>Tair, température de l’air d’alimentation<BR></LI></UL>"
"2","361","Réduction des pertes de chaleur par les ouvertures du four"
"2","361","Identifier les ouvertures du fours et réduire les pertes de chaleur associées."
"3","361","Reduction of heat loss through the openings of the oven"
"3","361","Identifier les ouvertures du fours et réduire les pertes de chaleur associées."
"4","361","Reducción de las pérdidas de calor por las aperturas del horno"
"4","361","Identifier les ouvertures du fours et réduire les pertes de chaleur associées."
"2","364","Inspection et vérification de l'état de l'isolation"
"2","364","Intégrer l'inspection de l'isolation aux programme de maintenance existant.
La thermographie infrarouge permet d'identifier les défauts alors que l'installation est en fonctionnement."
"3","364","Inspection and verification of the condition of the insulation"
"3","364","Intégrer l'inspection de l'isolation aux programme de maintenance existant.
La thermographie infrarouge permet d'identifier les défauts alors que l'installation est en fonctionnement."
"4","364","Inspección y comprobación del estado del aislamiento"
"4","364","Intégrer l'inspection de l'isolation aux programme de maintenance existant.
La thermographie infrarouge permet d'identifier les défauts alors que l'installation est en fonctionnement."
"2","365","Sensibilisation sur le coûts d'un purgeur fuyard"
"2","365","<P>Il est important que&nbsp;le personnel de maintenance et production soit informé&nbsp;sur le coût de la défaillance d'un purgeur fuyard.</P>
<P>La vapeur coûte cher (entre 15 et 30 € la tonne de vapeur produite) et les purgeurs de vapeur sont des sources privilégiés de fuites. Ils sont particulièrement à surveiller pour éviter des pertes d’énergie.</P>
<P>Lorsqu’un purgeur fuit, il laisse passer de la vapeur dans le retour condensat. Cette vapeur est évacuée en panache par l’extraction en toiture provenant de la bâche alimentaire.</P>
<P>Les purgeurs peuvent aussi être bloqués. Dans ce cas, ils laissent passer de l’eau dans les tuyauteries vapeur ce qui a pour effet de diminuer les échanges thermiques dans les échangeurs et de provoquer des fuites dans les tuyauteries.<BR>&nbsp;</P>"
"3","365","Staff aware of the costs of leaking trap"
"3","365","<P>It is important that maintenance personnel and production to be informed about the cost of the failure of a trap fugitive.</P>
<P>The steam is expensive (between 15 and 30 € per ton of steam produced) and steam traps are preferred sources of leaks. They are specially monitored to avoid energy losses.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">When a trap is leaking, it lets the steam condensate return. This steam is discharged plume by extracting the roof from the feed tank.</P>
<P>Traps can also be blocked. In this case, they let water into the steam pipes which has the effect of reducing the heat exchange in the heat exchangers and cause leaks in the pipes.</P>"
"4","365","Sensibilización sobre costes de un purgador fugitivo"
"4","365","<P>Il est important que&nbsp;le personnel de maintenance et production soit informé&nbsp;sur le coût de la défaillance d'un purgeur fuyard.</P>
<P>La vapeur coûte cher (entre 15 et 30 € la tonne de vapeur produite) et les purgeurs de vapeur sont des sources privilégiés de fuites. Ils sont particulièrement à surveiller pour éviter des pertes d’énergie.</P>
<P>Lorsqu’un purgeur fuit, il laisse passer de la vapeur dans le retour condensat. Cette vapeur est évacuée en panache par l’extraction en toiture provenant de la bâche alimentaire.</P>
<P>Les purgeurs peuvent aussi être bloqués. Dans ce cas, ils laissent passer de l’eau dans les tuyauteries vapeur ce qui a pour effet de diminuer les échanges thermiques dans les échangeurs et de provoquer des fuites dans les tuyauteries.<BR>&nbsp;</P>"
"2","366","Vérification des joints d'étanchéité"
"2","366","Vérifier l'état des joints d'étanchéité et les remplacer si nécessaire."
"3","366","Verification seals"
"3","366","Vérifier l'état des joints d'étanchéité et les remplacer si nécessaire."
"4","366","Verificar las juntas de impermeabilidad"
"4","366","Vérifier l'état des joints d'étanchéité et les remplacer si nécessaire."
"2","367","Calorifugeage des vannes, des robinets et des postes de détente sur un réseau vapeur"
"2","367","<P>Une grande quantité de chaleur s’échappe à travers des canalisations non isolées. Pour compenser ces pertes, une quantité supplémentaire de gaz doit être consommée à la chaudière. <BR>L’isolation des vannes et des raccords est souvent oubliée sur les sites industriels, néanmoins, les gains d’énergie sont importants car les pertes sont continues dans le temps. </P>
<P>Techniquement, des caches ou des chaussettes s’appliquent sur la conduite et viennent entourer la vanne à isoler. Le contrôle des vannes manuelles ou automatique n’est pas dérangé.</P>"
"3","367","Insulation valves, taps and positions relaxing on a steam system"
"3","367","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">A large amount of heat is lost through uninsulated pipes. To compensate for these losses, an additional quantity of gas to be consumed at the boiler.<BR>The isolation valves and fittings is often forgotten industrial sites, however, the energy savings are important because losses are continuous in time.</P>
<P>Technically, caches or socks apply to driving and just surround the valve to isolate. Control manual or automatic valves is not disturbed.</P>"
"4","367","Aislamiento de válvulas, de grifos y de puestos de descanso sobre una red de vapor "
"4","367","<P>Une grande quantité de chaleur s’échappe à travers des canalisations non isolées. Pour compenser ces pertes, une quantité supplémentaire de gaz doit être consommée à la chaudière. <BR>L’isolation des vannes et des raccords est souvent oubliée sur les sites industriels, néanmoins, les gains d’énergie sont importants car les pertes sont continues dans le temps. </P>
<P>Techniquement, des caches ou des chaussettes s’appliquent sur la conduite et viennent entourer la vanne à isoler. Le contrôle des vannes manuelles ou automatique n’est pas dérangé.</P>"
"2","373","Gestion technique d'un bâtiment (GTB)"
"2","373","<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">La GTB est un système permettant de connecter divers appareils (CVC/sécurité/ascenceurs...) dans le but de les maîtriser ensemble. </P>
<P style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">La GTB&nbsp;est un système informatique comportant : </P>
<UL>
<LI>
<DIV style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">un logiciel de gestion</DIV></LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">
<DIV style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">des concentrateurs d'informations pour les divers appareils reliés</DIV></LI>
<LI>
<DIV style=""BORDER-TOP-COLOR: ; BORDER-LEFT-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: "">un réseau de concentrateurs</DIV></LI></UL>"
"3","373","Building Management System (BMS)"
"4","373","Gestión técnica de un edificio"
"2","374","Programmateur d'intermittence pour un chauffage par radiateurs électriques"
"2","374","<P>Le programmateur horaire permet de planifier les périodes de chauffage. Le reste du temps, le chauffage est éteint ou en mode économique. Chaque appareil de chauffage est associé à un récepteur qui permet la communication avec le programmateur. La programmation peut-être :</P>
<UL>
<LI>Journalière : la régulation gère les consignes sur 24 heures uniquement.</LI>
<LI>Hebdomadaire : les différentes températures de chauffage sont adaptées en fonction des jours et des heures de présence.</LI></UL>
<P>Dans les deux cas, les dépenses liées aux surchauffes seront éliminées sans atténuer le confort des utilisateurs. </P>
<P>L’équipement de régulation permet une programmation de la fourniture de chaleur selon quatre allures intégrées aux radiateurs : confort, réduit, hors gel et arrêt.<BR></P>"
"3","374","Scheduler intermittently for heating by electric radiators"
"3","374","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The timer allows you to schedule the heating periods. The rest of the time the heating is turned off or in economy mode. Each heating unit is associated with a receiver that allows communication with the programmer. Programming can be:</P>
<UL>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">
<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Daily: control handles the instructions for 24 hours only.</DIV></LI>
<LI style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">
<DIV style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Weekly: different heating temperatures are adjusted according to the days and hours of attendance.</DIV></LI></UL>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">In both cases, expenses related to overheating will be eliminated without reducing the comfort of users.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">The control equipment allows programming of the heat supply in four gaits integrated radiators comfort, reduced frost and off.</P>
<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: ""><BR></P>"
"4","374","Programador de intermitencia para una calefacción por radiadores eléctricos"
"4","374","<P>Le programmateur horaire permet de planifier les périodes de chauffage. Le reste du temps, le chauffage est éteint ou en mode économique. Chaque appareil de chauffage est associé à un récepteur qui permet la communication avec le programmateur. La programmation peut-être :</P>
<UL>
<LI>Journalière : la régulation gère les consignes sur 24 heures uniquement.</LI>
<LI>Hebdomadaire : les différentes températures de chauffage sont adaptées en fonction des jours et des heures de présence.</LI></UL>
<P>Dans les deux cas, les dépenses liées aux surchauffes seront éliminées sans atténuer le confort des utilisateurs. </P>
<P>L’équipement de régulation permet une programmation de la fourniture de chaleur selon quatre allures intégrées aux radiateurs : confort, réduit, hors gel et arrêt.<BR></P>"
"2","377","Remplacement d'un climatiseur existant par un climatiseur fixe de classe A"
"2","377","<P>Remplacement d'un climatiseur existant par un climatiseur fixe de classe A, individuel (monosplit), ou regroupé (multisplit), pour des applications dont les besoins en climatisation sont inférieurs à 50KW froid.</P>
<P>&nbsp;</P>"
"3","377","Replacing an existing air conditioner with a fixed class A"
"3","377","<P>Remplacement d'un climatiseur existant par un climatiseur fixe de classe A, individuel (monosplit), ou regroupé (multisplit), pour des applications dont les besoins en climatisation sont inférieurs à 50KW froid.</P>
<P>&nbsp;</P>"
"4","377","Sustitución de un acondicionador de aire existente por un acondicionador de aire fijo de clase A"
"4","377","<P>Remplacement d'un climatiseur existant par un climatiseur fixe de classe A, individuel (monosplit), ou regroupé (multisplit), pour des applications dont les besoins en climatisation sont inférieurs à 50KW froid.</P>
<P>&nbsp;</P>"
"2","379","Ventilation mécanique modulée proportionnelle"
"2","379","Mise en place d'une ventilation mécanique (VM) proportionnelle simple flux ou double flux. Le système proportionnel asservit le débit de ventilation en fonction du nombre d'occupants réel du local."
"3","379","Mechanical ventilation modulated proportional"
"3","379","Mise en place d'une ventilation mécanique (VM) proportionnelle simple flux ou double flux. Le système proportionnel asservit le débit de ventilation en fonction du nombre d'occupants réel du local."
"4","379","Ventilación mecánica modulada proporcional"
"4","379","Mise en place d'une ventilation mécanique (VM) proportionnelle simple flux ou double flux. Le système proportionnel asservit le débit de ventilation en fonction du nombre d'occupants réel du local."
"2","380","Ventilation mécanique modulée à détection de présence"
"2","380","Mise en place d'une ventilation mécanique (VM) modulée à détection de présence, simple flux ou double flux."
"3","380","Mechanical ventilation modulated presence detection"
"3","380","Mise en place d'une ventilation mécanique (VM) modulée à détection de présence, simple flux ou double flux."
"4","380","Ventilación mecánica modulada de detección de presencia"
"4","380","Mise en place d'une ventilation mécanique (VM) modulée à détection de présence, simple flux ou double flux."
"2","381","Ventilation mécanique contrôlée simple flux autoréglable"
"2","381","Mise en place d'une ventilation mécanique contrôlée (VMC) simple flux autoréglable."
"3","381","Controlled mechanical ventilation easy compensated flow"
"3","381","Mise en place d'une ventilation mécanique contrôlée (VMC) simple flux autoréglable."
"4","381","Ventilación mecánica controlada flujo simple y autorregulable"
"4","381","Mise en place d'une ventilation mécanique contrôlée (VMC) simple flux autoréglable."
"2","382","Ventilation mécanique contrôlée double flux avec échangeur"
"2","382","Mise en place d'une ventilation mécanique contrôlée double flux avec échangeur."
"3","382","Controlled mechanical ventilation double flow exchanger"
"3","382","Mise en place d'une ventilation mécanique contrôlée double flux avec échangeur."
"4","382","Ventilación mecánica controlada dobla flujo con intercambiador"
"4","382","Mise en place d'une ventilation mécanique contrôlée double flux avec échangeur."
"2","385","Mini-cogénération sans obligation d'achat"
"2","385","Mise en place d'une mini cogénération collective de puissance électrique comprise entre 36KVA et 250 KVA sans obligation d'achat selon les critères de l'arrêté du 3 juillet 2001."
"3","385","Mini-CHP no obligation to purchase"
"3","385","Setting up a mini collective cogeneration of electric power between 36 kVA and 250 kVA without purchase obligation under the criteria of the order of 3 July 2001."
"4","385","Mini cogeneración sin obligación de compra"
"4","385","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Puesta en marcha de una minicogeneración colectiva de potencia eléctrica comprendida entre 36 kVA y 250 kVA sin obligación de comprar según los criterios de parada el 3 de Julio de 2001.</P>"
"2","386","Circulateur à rotor noyé de classe A"
"2","386","Installation d'un circulateur à rotor noyé de classe A dans un système collectif de chauffage ou de conditionnement d'ambiance."
"3","386","Glandless circulator Class A"
"3","386","Installation d'un circulateur à rotor noyé de classe A dans un système collectif de chauffage ou de conditionnement d'ambiance."
"4","386","Circulador de rotor húmedo Clase A"
"4","386","Installation d'un circulateur à rotor noyé de classe A dans un système collectif de chauffage ou de conditionnement d'ambiance."
"2","388","Unité autonome de traitement d'air en toiture à haute performance énergétique"
"2","388","Mise en place d'une unité autonome de traitement d'air en toiture (Roof-Top) à haute performance énergétique. 
L'unité doit répondre aux critères suivants : 
- Etre équipée d'un ventilateur de soufflage à roue libre;
- Utiliser le R410A comme fluide frigo"
"3","388","Autonomous processing unit air roof energy-efficient"
"3","388","Mise en place d'une unité autonome de traitement d'air en toiture (Roof-Top) à haute performance énergétique. 
L'unité doit répondre aux critères suivants : 
- Etre équipée d'un ventilateur de soufflage à roue libre;
- Utiliser le R410A comme fluide frigo"
"4","388","Unidad autónoma de tratamiento de aire en tejado a alto rendimiento energético"
"4","388","Mise en place d'une unité autonome de traitement d'air en toiture (Roof-Top) à haute performance énergétique. 
L'unité doit répondre aux critères suivants : 
- Etre équipée d'un ventilateur de soufflage à roue libre;
- Utiliser le R410A comme fluide frigo"
"2","389","Groupe de production d'eau glacée avec condenseur sur eau"
"2","389","Mise en place d'un groupe de production d'eau glacée avec condenseur sur eau"
"3","389","Group ice water condenser with output on water"
"3","389","Mise en place d'un groupe de production d'eau glacée avec condenseur sur eau"
"4","389","Grupo de producción de agua helada con condensador sobre agua"
"4","389","Mise en place d'un groupe de production d'eau glacée avec condenseur sur eau"
"2","392","Système de climatisation centralisée de type DRV"
"2","392","Mise en place d'un système de climatisation centralisée de type débit de réfrigérant variable (DRV), c'est-à-dire fonctionnant en détente directe et dont la régulation de chaque unité intérieure se fait par variation du débit de réfrigérant."
"3","392","Central air conditioning system of the type DRV"
"3","392","Mise en place d'un système de climatisation centralisée de type débit de réfrigérant variable (DRV), c'est-à-dire fonctionnant en détente directe et dont la régulation de chaque unité intérieure se fait par variation du débit de réfrigérant."
"4","392","Sistema de climatización centralizada por tipo DRV"
"4","392","Mise en place d'un système de climatisation centralisée de type débit de réfrigérant variable (DRV), c'est-à-dire fonctionnant en détente directe et dont la régulation de chaque unité intérieure se fait par variation du débit de réfrigérant."
"2","395","Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option A"
"2","395","Calculs d’ingénierie utilisant des mesures ponctuelles ou sur le court terme, des simulations informatiques et/ou des données historiques"
"3","395","Evaluation of the effectiveness by performing measurements and verifications : M & V - Option A"
"3","395","Calculs d’ingénierie utilisant des mesures ponctuelles ou sur le court terme, des simulations informatiques et/ou des données historiques"
"4","395","Evaluación de la eficiencia efectuando medidas y comprobaciones: M*V - Opción A"
"4","395","Calculs d’ingénierie utilisant des mesures ponctuelles ou sur le court terme, des simulations informatiques et/ou des données historiques"
"2","396","Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option B"
"2","396","Calculs d’ingénierie utilisant des relevés de mesures"
"3","396","Evaluation of the effectiveness by performing measurements and verifications : M & V - Option B"
"3","396","Calculs d’ingénierie utilisant des relevés de mesures"
"4","396","Evaluación de la eficiencia efectuando medidas y comprobaciones: M*V - Opción B"
"4","396","Calculs d’ingénierie utilisant des relevés de mesures"
"2","397","Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option C"
"2","397","Analyse des relevés des utilités (globaux ou détaillés) au moyen de techniques allant de la simple comparaison aux analyses de régression multivariées (horaire ou mensuelle)."
"3","397","Evaluation of the effectiveness by performing measurements and verifications : M & V - Option C"
"3","397","Analyse des relevés des utilités (globaux ou détaillés) au moyen de techniques allant de la simple comparaison aux analyses de régression multivariées (horaire ou mensuelle)."
"4","397","Evaluación de la eficiencia efectuando medidas y comprobaciones: M*V - Opción C"
"4","397","Analyse des relevés des utilités (globaux ou détaillés) au moyen de techniques allant de la simple comparaison aux analyses de régression multivariées (horaire ou mensuelle)."
"2","398","Evaluation de l'efficacité en effectuant des mesures et vérifications : M&V - Option D"
"2","398","Simulation/modélisation calibrées avec des données de facturation des utilités à l’heure ou au mois et/ou des relevés de consommation finale"
"3","398","Evaluation of the effectiveness by performing measurements and verifications : M & V - Option D"
"3","398","Simulation/modélisation calibrées avec des données de facturation des utilités à l’heure ou au mois et/ou des relevés de consommation finale"
"4","398","Evaluación de la eficiencia efectuando medidas y comprobaciones: M*V - Opción D"
"4","398","Simulation/modélisation calibrées avec des données de facturation des utilités à l’heure ou au mois et/ou des relevés de consommation finale"
"2","400","Lampes à iodures métalliques à brûleur céramique en remplacement de lampe à vapeur de mercure"
"2","400","<P>Les lampes à décharge sont intéressantes en comparaison de tubes fluorescent. Cependant, le lampes à vapeur de mercure haute pression sont aujourd'hui dépassées. Elles sont remplacées par des lampes à sodium haute pression ou par des lampes à iodures métalliques à brûleur céramique. </P>
<P>Ces lampes&nbsp;peuvent aussi être équipées d’un ballast électronique. </P>
<P>&nbsp;</P>"
"3","400","Lamps metal halide ceramic burner to replace mercury vapor lamp"
"3","400","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Discharge lamps are interesting compared to fluorescent tubes. However, the vapor lamps, high pressure mercury are now outdated. They are replaced by high pressure sodium lamps or metal halide lamps with ceramic burner.</P>
<P>These lamps can also be equipped with an electronic ballast.</P>"
"4","400","Lámparas de ioduros metálicos a quemador cerámico en sustitución de lámpara a vapor de mercurio"
"4","400","<P>Les lampes à décharge sont intéressantes en comparaison de tubes fluorescent. Cependant, le lampes à vapeur de mercure haute pression sont aujourd'hui dépassées. Elles sont remplacées par des lampes à sodium haute pression ou par des lampes à iodures métalliques à brûleur céramique. </P>
<P>Ces lampes&nbsp;peuvent aussi être équipées d’un ballast électronique. </P>
<P>&nbsp;</P>"
"2","403","Nappe d'éclairage fluorescent en tube de typeT5"
"2","403","Installation d'une nappe d'éclairage fluorescent composée de tubes T5."
"3","403","Slick fluorescent tube type T5"
"3","403","Installing a fluorescent layer composed of T5 tubes."
"4","403","Mantel de iluminación fluorescente en un tubo de tipo T5"
"4","403","<P style=""BORDER-TOP-COLOR: ; BORDER-BOTTOM-COLOR: ; BORDER-RIGHT-COLOR: ; BORDER-LEFT-COLOR: "">Instalación de un mantel de iluminación fluorescente compuesta por tubos T5.</P>"
"2","404","Système de mise au repos automatique de blocs autonomes d'éclairage de sécurité (BAES)"
"2","404","<P>Lorsque les bâtiments sont inoccupé, l'éclairage de sécurité n'est pas autant nécessaire.&nbsp;Des systèmes de mise au repos automatique des BAES existent pour limiter la consommation électrique de ces blocs pendant les périodes d'inoccupation.</P>
<P>Le système de mise au repos est alors asservi à la coupure générale de l'éclairage artificiel.</P>
<P>Ces systèmes permettent de limiter la consommation tout en respectant les exigences de&nbsp;sécurité.</P>"
"3","404","System auto off of self-contained emergency lighting unit (BAES)"
